feature,mean_abs_shap
age at sampling,0.5790531
PC(52_3),0.24670087
PC(O-48_3),0.23543105
HexCer(t42_2),0.23470758
PC(O-46_1),0.23395993
HexCer(d40_0),0.21005666
PE(O+P-38_2),0.18722613
1-acyl LPC(30_0),0.15603276
1-acyl LPC(30_2),0.14853795
1-acyl LPC(27_0),0.14281206
PC(O-48_1),0.12126412
SM4(t42_2),0.10347729
PE(O+P-44_9),0.09329516
Cer(d41_3),0.09022521
1-acyl LPC(27_1),0.08882521
PC(38_2),0.08276019
TG(59_2),0.08135992
PC(O+P-48_7),0.07420031
Cer(d42_3),0.07250247
PC(O-46_8),0.0711023
LPC(24_0),0.07055432
LPC(30_0),0.069634005
PC(O-44_1),0.069129094
PC(50_6),0.06852323
CE(26_2),0.066340595
Cer(d44_3),0.062991396
PC(47_4),0.05992344
TG(67_2),0.05748959
DG(O-42_2),0.053244602
LPC(22_3),0.04982109
PE(O+P-40_2),0.046940196
1-acyl LPC(26_3),0.046815902
Cer(d42_4),0.03909712
PC(45_2),0.035924986
1-acyl LPC(28_1),0.035388544
PC(50_4),0.034750223
TG(55_4),0.03419322
PC(46_1),0.031699136
1-acyl LPC(29_0),0.031408098
LPC(25_0),0.028892988
PC(O-45_1),0.027666477
1-acyl LPC(24_0),0.027571715
LPC(30_1),0.025653757
TG(61_1),0.021254674
PC(49_4),0.018174985
TG(67_3),0.016130248
1-acyl LPC(25_0),0.0142749
SM(d43_2),0.014066565
PC(48_1),0.010915941
1-acyl LPC(28_0),0.010641219
CE(26_1),0.007241412
