feature,mean_abs_shap
age at sampling,0.96038425
PC(O-48_4),0.8204217
PC(O-41_7),0.44888285
PC(O-38_1),0.4432913
PE(O+P-44_9),0.43459114
PC(O+P-38_6),0.401211
Hex2Cer(d42_1),0.3549002
TG(57_4),0.3269826
PC(43_1),0.32002506
PC(52_3),0.30955702
PC(P-39_2),0.3044981
HexCer(t42_1),0.2921971
1-acyl LPC(27_0),0.28860486
1-acyl LPC(30_0),0.2562624
PE(P-38_6),0.25418773
PC(O+P-39_7),0.25417683
TG(63_5),0.25050065
SM(d40_3),0.23843502
PC(O-48_3),0.23193239
PE(P-38_3),0.23007935
TG(O-64_1),0.2269863
PC(50_6),0.17562044
PE(O+P-40_2),0.16822729
1-acyl LPC(26_3),0.15717845
PC(45_2),0.13899328
Cer(d44_3),0.12685531
TG(O-54_0),0.12397051
TG(67_2),0.12023134
CE(25_1),0.11402198
PC(O-46_9),0.11060713
PC(46_3),0.105020784
TG(70_4),0.10367185
1-acyl LPC(25_0),0.09674032
TG(57_7),0.09382542
PC(49_4),0.09110204
PC(42_1),0.087275885
LPC(30_0),0.08600885
PC(42_9),0.08570218
SM4(t41_1),0.084203385
Hex2Cer(d40_1),0.077545814
1-acyl LPC(27_1),0.072470464
PE(38_5),0.0569408
1-acyl LPC(28_0),0.04709519
SM4(t42_1),0.03920945
Cer(d41_3),0.037370607
PC(46_1),0.0
PC(48_2),0.0
SM(d43_2),0.0
TG(64_0),0.0
TG(68_1),0.0
TG(71_3),0.0
