feature,mean_abs_shap
age at sampling,0.9936436
Cer(d41_3),0.51724666
PC(O-48_3),0.49171057
PC(P-48_5),0.35532326
SM4(d41_1),0.31128207
HexCer(t42_2),0.30793577
PE(O+P-44_9),0.28848314
PC(40_6),0.25662938
PC(42_1),0.25578985
PE(O+P-38_8),0.24985316
PE(P-44_8),0.24612151
PC(48_3),0.23925936
SM4(d42_1),0.23709993
PC(52_3),0.23189542
PC(40_9),0.22910137
PC(44_4),0.22376937
DG(42_7),0.2153422
TG(67_2),0.2142411
SM4(t42_1),0.21064658
PC(O-44_0),0.21049885
PC(46_1),0.20876302
PE(O+P-38_2),0.20089306
PC(O-46_9),0.17319252
SM(d41_0),0.16254564
PE(O+P-42_2),0.16209969
1-acyl LPC(27_0),0.16140442
PC(49_4),0.1389233
Cer(d42_3),0.13466027
SM4(t42_2),0.12629725
Cer(d44_3),0.11117781
TG(56_11),0.108478434
1-acyl LPC(22_2),0.10844025
PI(40_7),0.103991635
TG(55_8),0.10337613
PE(O+P-42_9),0.10033945
TG(54_9),0.09662697
PC(45_2),0.09514422
DG(41_2),0.09285132
1-acyl LPC(26_3),0.091937326
SM(d43_2),0.083757326
PC(42_2),0.07965499
PC(O-44_1),0.07101118
HexCer(d40_1),0.06598674
PE(O+P-40_2),0.056712665
LPC(30_0),0.035661634
1-acyl LPC(25_0),0.0
1-acyl LPC(26_0),0.0
1-acyl LPC(28_0),0.0
PC(P-40_0),0.0
TG(55_4),0.0
TG(O-54_0),0.0
