feature,mean_abs_shap
PC(52_3),0.46194494
PC(O-48_3),0.21330148
Cer(d42_3),0.20131966
age at sampling,0.19753256
1-acyl LPC(24_0),0.1963178
LPC(24_0),0.18061376
PC(O+P-46_1),0.106102176
1-acyl LPC(23_0),0.09932405
PC(50_6),0.09386738
PC(43_1),0.091542155
TG(O-54_2),0.08331102
LPC(32_0),0.08185477
1-acyl LPC(25_0),0.071460724
PE(P-42_6),0.051013507
Cer(d44_3),0.043974947
PC(47_2),0.043049023
PC(O-46_1),0.03952623
LPC(28_0),0.03497375
1-acyl LPC(26_4),0.03194808
TG(56_6),0.030543331
TG(55_4),0.029612867
PE(O+P-40_3),0.029069707
PC(42_1),0.028638309
1-acyl LPC(31_0),0.028043404
PC(O-48_1),0.02786349
PC(46_1),0.027854737
TG(68_1),0.02566349
PC(50_5),0.019701041
SM(d43_2),0.018978868
PC(52_2),0.017387874
PC(47_4),0.016539736
PC(O-44_1),0.016213221
1-acyl LPC(28_0),0.014333578
PC(50_4),0.013976119
1-acyl LPC(27_1),0.012348644
LPC(25_0),0.011861595
PC(O+P-40_3),0.009677143
LPC(30_0),0.009032848
1-acyl LPC(30_0),0.00880967
PC(43_3),0.008094527
PC(46_2),0.0076949447
PC(44_4),0.007571743
1-acyl LPC(32_0),0.0064768926
PC(O-38_4),0.005503406
1-acyl LPC(27_0),0.0044020107
PC(50_2),0.0042895614
PC(48_2),0.0037955544
TG(67_2),0.0022014058
PC(O-42_0),0.001683312
1-acyl LPC(26_0),0.0
PC(46_3),0.0
